date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,99,99,1,84,816,80,206,0,Road,Provider_Z,170.03,176.45,12.59,1,12.77,19.79,695.1
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,39,39,0,41,671,61,122,0,Road,Provider_X,29.67,31.38,7.44,1,12.22,18.94,262.12
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,43,37,1,55,942,90,172,1,Road,Provider_Z,79.02,81.61,11.9,1,156.24,210.92,2023.29
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,104,102,1,84,718,115,241,1,Road,Provider_Z,61.46,72.54,6.0,1,183.76,248.08,6560.35
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,77,69,1,62,680,125,218,1,Rail,Provider_X,26.92,25.2,11.26,1,42.69,61.9,1325.42
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,44,41,0,40,864,112,172,1,Air,Provider_Z,20.83,53.05,9.96,1,14.37,22.27,324.01
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,46,46,0,62,732,121,214,0,Air,Provider_Y,31.22,67.19,6.0,1,10.74,16.65,271.73
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,105,100,2,94,544,98,239,1,Road,Provider_X,144.79,142.91,16.27,1,161.14,217.54,5639.96
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,53,52,0,52,859,69,147,1,Road,Provider_X,101.59,97.79,10.08,1,43.71,63.38,1022.75
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,84,83,1,82,609,84,207,1,Road,Provider_X,100.09,100.16,15.26,1,178.77,241.34,5193.22
