date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.365283,-88.070158,111,111,1,109,814,83,222,0,Air,Provider_Z,173.45,342.15,9.21,1,13.12,20.9,858.23
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.143981,-87.53483,51,51,0,47,672,63,132,0,Road,Provider_Z,28.98,32.63,7.18,1,12.46,19.09,338.24
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.379222,-88.253503,64,64,3,65,939,94,186,0,Air,Provider_Z,76.71,156.14,8.43,1,158.42,211.73,3245.45
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.786674,-88.310184,170,170,3,161,665,120,260,0,Air,Provider_Y,62.53,144.99,4.0,1,187.3,254.51,11229.04
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.093106,-87.840321,78,78,1,78,692,130,235,0,Road,Provider_Y,28.88,27.26,10.97,1,43.57,65.3,1680.14
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.912417,-87.872495,57,57,0,60,840,116,186,0,Road,Provider_Z,21.15,55.86,9.87,1,14.83,22.94,462.01
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.953759,-87.940163,61,61,0,58,717,126,231,0,Air,Provider_Y,30.22,134.76,4.0,1,10.98,17.05,370.25
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.877352,-86.539418,130,130,3,116,521,102,258,0,Rail,Provider_X,147.51,115.99,19.45,1,162.76,221.18,7424.39
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.508446,-88.383678,69,69,0,55,860,72,159,0,Air,Provider_Y,99.99,196.56,6.43,1,44.8,66.85,1521.23
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.314702,-86.570883,134,134,2,120,577,87,224,0,Road,Provider_X,102.85,98.72,14.65,1,179.79,244.54,8550.78
