date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.388348,-88.059288,105,105,1,119,847,86,218,0,Rail,Provider_Z,186.54,156.08,16.2,1,13.51,19.41,614.88
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.148849,-87.584406,36,36,0,40,702,66,129,0,Air,Provider_Y,32.53,63.78,5.11,1,12.67,19.45,244.23
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.397107,-88.284887,45,45,1,44,966,97,182,0,Air,Provider_Y,86.91,167.16,8.3,1,163.2,208.88,1998.36
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.803312,-88.326133,103,103,1,114,745,124,255,0,Air,Provider_Y,66.84,148.71,4.0,1,192.11,247.26,5613.86
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.133872,-87.955027,105,96,1,114,717,135,231,1,Road,Provider_X,37.35,26.35,14.86,1,45.56,64.26,1779.84
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.908498,-87.877725,45,45,0,46,929,121,182,0,Road,Provider_Y,22.07,58.35,10.15,1,14.91,22.53,342.99
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.978736,-87.958797,47,47,0,49,725,131,227,0,Road,Provider_Z,33.93,72.4,6.36,0,11.35,16.59,246.28
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.859721,-86.519394,105,105,2,110,537,106,253,0,Air,Provider_X,156.07,267.67,12.13,1,166.47,222.56,5772.49
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.539894,-88.45853,55,55,0,49,917,75,156,0,Rail,Provider_Z,113.79,84.79,12.91,1,45.31,63.31,990.02
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.298882,-86.609784,81,81,1,70,632,91,219,0,Rail,Provider_Z,108.29,85.17,19.22,1,181.75,247.09,5228.89
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.5538,-86.893564,44,44,1,41,853,64,140,0,Rail,Provider_X,78.55,55.35,7.66,1,229.85,295.99,2829.74
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.259831,-87.043047,68,68,1,70,768,93,213,0,Road,Provider_X,69.82,64.16,9.76,1,192.59,257.17,4323.69
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.769316,-88.049929,35,35,0,42,863,87,131,0,Road,Provider_Z,122.9,95.4,7.81,1,179.36,226.06,1634.39
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.177301,-87.044173,57,57,1,64,549,92,182,0,Air,Provider_Z,65.24,113.03,7.92,1,38.2,53.34,850.1
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.643263,-89.749431,116,116,5,125,1104,69,227,0,Road,Provider_X,225.88,187.26,13.35,1,13.67,20.48,765.65
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.799596,-94.777282,29,29,0,30,882,140,182,0,Road,Provider_Y,52.41,125.32,14.08,1,43.19,59.91,485.02
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.498163,-94.700082,96,96,4,88,947,107,230,0,Road,Provider_Y,108.74,106.28,11.6,1,188.1,248.53,5537.84
