date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,95,90,1,111,555,48,157,1,Air,Provider_Z,172.76,328.82,8.94,0,12.61,20.08,667.49
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,39,39,0,38,450,37,93,0,Road,Provider_Z,28.97,31.8,6.89,0,12.14,18.7,255.8
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,41,38,1,43,564,54,131,1,Road,Provider_Z,80.58,83.69,12.15,1,157.08,212.86,2064.43
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,102,96,1,104,443,69,183,1,Air,Provider_X,60.52,130.24,4.07,1,181.98,244.32,5921.23
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,77,64,1,85,468,75,166,1,Road,Provider_X,27.75,25.23,11.83,1,43.61,61.32,1118.44
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,47,47,0,42,574,67,131,0,Road,Provider_Z,19.65,54.93,9.44,1,14.59,22.63,378.12
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,49,49,0,48,447,73,163,0,Air,Provider_X,31.05,120.61,4.12,1,10.63,16.07,266.6
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,107,87,2,96,347,59,182,1,Air,Provider_X,140.69,252.78,11.4,1,157.21,215.35,4948.3
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,54,54,0,54,569,41,112,0,Rail,Provider_Y,96.59,85.04,10.55,1,43.73,63.46,1065.35
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,85,73,1,85,370,50,157,1,Rail,Provider_Z,99.98,83.99,17.06,1,179.24,243.88,4656.16
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,44,44,1,43,510,35,100,0,Road,Provider_X,68.95,63.37,5.76,1,215.81,296.98,3495.6
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,66,63,1,74,469,52,153,1,Air,Provider_Z,63.76,120.8,6.56,1,188.32,251.93,3941.13
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,24,24,0,24,540,49,94,0,Air,Provider_X,91.17,161.44,4.49,1,170.77,230.93,1444.04
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,65,63,1,65,359,51,131,1,Air,Provider_X,59.79,105.64,7.05,1,37.15,53.24,1000.76
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,113,111,5,117,738,38,163,1,Road,Provider_Z,197.58,184.66,12.39,1,12.95,19.43,695.96
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.79848,-94.784486,26,25,0,25,511,78,131,1,Road,Provider_X,50.28,108.34,14.73,1,40.38,60.88,512.51
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.504575,-94.696776,96,92,4,95,555,59,165,1,Air,Provider_Y,100.0,192.45,7.63,1,184.11,246.39,5472.31
2025-01-01,WH_SOUTH,SKU_D,Electronics,C3122,Rural,30.469428,-94.838613,92,67,2,89,297,26,122,1,Road,Provider_X,98.85,86.13,11.87,1,156.48,211.96,3607.92
2025-01-01,WH_SOUTH,SKU_F,Food,C6770,Rural,28.560763,-95.872819,65,47,2,65,540,51,168,1,Road,Provider_Z,146.9,130.71,19.94,1,12.91,19.4,295.66
2025-01-01,WH_SOUTH,SKU_B,Household,C1456,Suburban,30.763348,-94.196475,93,80,0,106,338,40,162,1,Rail,Provider_Z,146.64,123.52,17.74,0,36.36,51.76,1232.1
2025-01-01,WH_SOUTH,SKU_H,Household,C2609,Suburban,28.713069,-95.652367,76,70,3,71,410,32,119,1,Air,Provider_Y,119.83,248.46,6.84,1,33.96,48.25,964.63
2025-01-01,WH_SOUTH,SKU_B,Household,C9024,Urban,30.168215,-95.193578,70,62,1,70,352,68,185,1,Rail,Provider_Z,46.08,42.94,13.31,1,40.82,58.61,1088.36
2025-01-01,WH_SOUTH,SKU_D,Electronics,C9580,Suburban,29.127931,-94.056896,71,56,1,71,442,69,179,1,Rail,Provider_Y,136.61,104.05,13.28,1,192.66,261.56,3791.35
2025-01-01,WH_SOUTH,SKU_G,Electronics,C9506,Suburban,29.945211,-95.694516,68,66,2,68,527,67,160,1,Air,Provider_Z,34.02,57.81,11.05,1,177.49,248.08,4535.32
2025-01-01,WH_SOUTH,SKU_E,Household,C2290,Rural,30.605825,-94.616655,41,40,1,40,526,50,123,1,Rail,Provider_Z,117.46,85.59,24.36,1,42.92,62.04,749.68
2025-01-01,WH_SOUTH,SKU_C,Food,C3256,Suburban,29.925155,-95.167121,50,50,2,47,438,29,113,0,Air,Provider_Y,24.97,40.39,4.83,1,11.75,18.33,320.76
2025-01-01,WH_SOUTH,SKU_F,Food,C7226,Urban,29.797993,-95.707167,76,67,1,63,547,71,163,1,Road,Provider_X,28.74,37.85,5.94,1,12.21,18.89,443.35
2025-01-01,WH_SOUTH,SKU_H,Household,C4242,Suburban,29.617559,-94.853268,86,83,1,86,613,82,212,1,Road,Provider_Z,46.1,57.02,7.54,1,37.82,54.31,1355.41
2025-01-01,WH_SOUTH,SKU_F,Food,C5633,Urban,29.495029,-95.504365,47,42,0,52,377,62,169,1,Rail,Provider_X,30.35,20.04,15.08,0,12.1,18.95,287.72
2025-01-01,WH_SOUTH,SKU_D,Electronics,C8958,Suburban,29.927308,-94.502392,68,68,1,67,527,35,125,0,Road,Provider_X,76.81,80.14,5.61,1,168.83,228.56,4002.15
2025-01-01,WH_EAST,SKU_B,Household,C1061,Rural,33.697268,-83.132508,83,81,2,87,615,88,198,1,Air,Provider_X,109.91,191.2,8.59,1,39.74,58.04,1454.33
2025-01-01,WH_EAST,SKU_E,Household,C7469,Suburban,34.450693,-84.288816,86,86,0,85,569,37,145,0,Rail,Provider_Y,74.89,67.62,11.9,1,41.89,59.97,1554.6
2025-01-01,WH_EAST,SKU_A,Electronics,C4051,Urban,33.66365,-84.258701,82,54,1,92,298,52,156,1,Rail,Provider_Y,13.88,21.26,18.18,1,178.7,231.53,2790.73
2025-01-01,WH_EAST,SKU_C,Food,C7738,Rural,33.344645,-83.817087,81,60,1,80,131,66,168,1,Road,Provider_X,67.81,47.47,6.38,1,10.75,16.58,346.28
2025-01-01,WH_EAST,SKU_F,Food,C8543,Suburban,33.171719,-84.631621,95,79,1,114,581,50,182,1,Air,Provider_Y,69.1,154.34,5.49,1,11.02,16.71,445.15
2025-01-01,WH_EAST,SKU_F,Food,C8907,Rural,33.154617,-86.68677,66,54,1,75,428,43,134,1,Air,Provider_Y,211.5,415.09,9.07,1,12.01,17.92,314.97
2025-01-01,WH_EAST,SKU_C,Food,C8463,Suburban,34.021451,-85.282867,61,54,1,60,418,73,188,1,Air,Provider_X,78.39,314.56,6.55,1,11.26,17.82,350.29
2025-01-01,WH_EAST,SKU_D,Electronics,C2353,Rural,34.117192,-84.586188,40,40,0,38,502,44,122,0,Road,Provider_Y,46.23,45.29,6.4,1,175.09,233.82,2349.13
2025-01-01,WH_EAST,SKU_B,Household,C4706,Urban,33.915328,-84.229204,21,21,0,26,544,46,100,0,Air,Provider_Y,21.82,33.92,8.9,1,40.55,56.79,341.06
2025-01-01,WH_EAST,SKU_G,Electronics,C4819,Urban,33.151952,-84.668946,60,52,1,67,406,53,159,1,Road,Provider_Z,70.72,77.33,16.96,1,185.36,245.49,3062.12
2025-01-01,WH_EAST,SKU_G,Electronics,C9220,Suburban,34.859309,-82.38306,54,47,0,56,383,53,149,1,Air,Provider_Y,207.57,404.33,13.59,1,188.93,260.07,3343.38
2025-01-01,WH_EAST,SKU_C,Food,C3151,Urban,33.752493,-84.168235,40,40,0,43,602,57,141,0,Air,Provider_X,17.67,37.73,7.77,1,12.17,18.69,260.8
2025-01-01,WH_EAST,SKU_C,Food,C4177,Urban,33.946537,-84.176071,50,40,1,49,458,84,195,1,Road,Provider_X,28.86,30.53,14.62,1,10.1,15.6,216.17
2025-01-01,WH_EAST,SKU_C,Food,C3742,Urban,33.89261,-84.210728,77,74,1,70,596,45,144,1,Road,Provider_Y,21.42,22.5,5.77,1,11.03,17.07,443.23
2025-01-01,WH_EAST,SKU_H,Household,C4220,Urban,33.54172,-83.796031,85,79,2,76,467,53,172,1,Air,Provider_Y,53.12,127.35,11.16,1,40.87,58.59,1371.56
2025-01-02,WH_NORTH,SKU_F,Food,C1070,Suburban,43.315135,-87.958759,110,98,2,95,572,46,154,1,Rail,Provider_Y,161.89,139.22,12.29,1,10.88,16.57,549.84
2025-01-02,WH_NORTH,SKU_F,Food,C5941,Urban,42.386722,-87.709898,50,50,1,47,765,59,148,0,Rail,Provider_Y,54.55,102.74,6.34,1,12.07,19.01,343.04
2025-01-02,WH_NORTH,SKU_B,Household,C4443,Suburban,41.594362,-86.544372,60,60,1,63,608,51,133,0,Road,Provider_X,98.0,93.47,10.38,1,39.2,57.01,1055.05
2025-01-02,WH_NORTH,SKU_C,Food,C6676,Suburban,42.3062,-89.248176,51,51,1,48,730,30,130,0,Rail,Provider_X,148.09,106.21,7.03,1,14.21,21.61,372.42
2025-01-02,WH_NORTH,SKU_C,Food,C5363,Suburban,42.651238,-87.585694,92,92,0,86,635,49,149,0,Rail,Provider_X,86.72,77.07,7.49,1,10.99,16.6,516.86
2025-01-02,WH_NORTH,SKU_F,Food,C1453,Suburban,41.126647,-88.422031,88,88,1,91,596,49,149,0,Rail,Provider_Y,109.22,210.59,6.42,1,13.12,20.97,686.13
2025-01-02,WH_NORTH,SKU_H,Household,C2876,Suburban,41.867739,-88.208719,56,51,0,63,331,66,146,1,Air,Provider_Y,48.24,94.02,8.04,1,38.39,55.2,857.17
2025-01-02,WH_NORTH,SKU_D,Electronics,C9656,Urban,42.116077,-87.579225,81,59,0,83,357,58,198,1,Air,Provider_Z,27.29,67.07,6.58,1,191.44,255.95,3806.06
2025-01-02,WH_NORTH,SKU_B,Household,C3253,Rural,41.7445,-87.91544,124,114,2,150,504,50,157,1,Road,Provider_X,30.17,77.06,11.97,1,41.9,60.58,2100.6
2025-01-02,WH_NORTH,SKU_F,Food,C2793,Suburban,41.029314,-87.239527,77,59,0,81,432,65,157,1,Road,Provider_X,98.52,91.37,6.91,1,10.95,17.17,367.17
2025-01-02,WH_NORTH,SKU_H,Household,C4797,Urban,42.374148,-87.486406,30,30,0,29,605,50,130,0,Air,Provider_Y,54.42,108.03,4.12,1,32.71,46.76,421.65
2025-01-02,WH_NORTH,SKU_G,Electronics,C1516,Urban,42.420975,-87.677838,55,51,0,67,493,57,150,1,Air,Provider_Y,58.09,111.86,5.4,1,169.91,234.89,3313.97
2025-01-02,WH_NORTH,SKU_E,Household,C4035,Suburban,41.869438,-87.49955,89,85,0,91,488,38,141,1,Rail,Provider_X,11.47,30.31,12.62,1,48.37,68.42,1704.16
2025-01-02,WH_NORTH,SKU_H,Household,C9233,Rural,40.508058,-85.752074,97,82,2,93,501,57,175,1,Rail,Provider_Z,226.48,176.0,10.44,1,39.79,56.78,1365.25
2025-01-02,WH_NORTH,SKU_B,Household,C4698,Urban,41.539038,-87.501757,46,46,1,47,297,32,108,0,Road,Provider_X,37.88,28.33,13.53,1,36.08,52.1,723.9
2025-01-02,WH_SOUTH,SKU_H,Household,C7375,Urban,29.821128,-95.926275,97,97,1,103,680,53,182,0,Rail,Provider_X,46.98,41.32,11.33,1,33.36,48.27,1435.11
2025-01-02,WH_SOUTH,SKU_H,Household,C4819,Rural,30.578857,-94.069616,61,58,0,56,513,85,179,1,Road,Provider_Y,149.17,148.12,12.32,1,35.22,49.39,821.77
2025-01-02,WH_SOUTH,SKU_F,Food,C2899,Urban,29.516915,-95.087789,43,43,1,37,530,57,123,0,Road,Provider_X,35.38,37.68,15.1,1,10.11,16.08,253.37
2025-01-02,WH_SOUTH,SKU_G,Electronics,C7405,Urban,29.949342,-95.461497,90,81,1,96,476,59,171,1,Air,Provider_Y,22.33,59.64,4.1,1,188.76,249.57,4859.6
2025-01-02,WH_SOUTH,SKU_H,Household,C8934,Urban,30.117668,-95.807566,49,43,0,50,415,70,157,1,Road,Provider_X,51.32,54.08,11.29,1,38.04,55.35,744.39
2025-01-02,WH_SOUTH,SKU_G,Electronics,C2492,Suburban,30.421803,-95.540132,54,52,0,56,580,65,163,1,Air,Provider_Y,74.5,106.46,5.02,1,175.83,234.7,3061.03
2025-01-02,WH_SOUTH,SKU_E,Household,C4224,Urban,30.756816,-95.330231,92,83,3,94,518,68,164,1,Air,Provider_X,107.31,190.94,9.3,1,39.71,57.66,1448.77
2025-01-02,WH_SOUTH,SKU_A,Electronics,C5521,Suburban,28.508436,-95.470996,69,63,2,74,405,50,141,1,Rail,Provider_Z,142.06,119.29,15.0,1,187.45,252.07,3939.69
