date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,94,94,1,95,888,82,210,0,Air,Provider_Z,192.06,386.83,9.57,1,13.49,20.48,652.99
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,38,38,0,41,713,62,124,0,Road,Provider_X,30.97,43.46,7.64,1,13.08,19.87,257.87
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,41,41,1,40,940,92,175,0,Road,Provider_X,82.19,109.87,11.93,1,162.6,214.42,2067.47
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,101,101,1,112,676,117,246,0,Air,Provider_Z,63.66,159.36,4.49,1,194.49,250.7,5609.47
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,79,79,1,74,674,128,222,0,Air,Provider_Y,30.32,59.75,8.21,1,46.93,64.11,1341.12
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,42,42,0,41,883,114,175,0,Road,Provider_Y,21.78,77.98,10.25,1,15.1,23.27,343.32
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,44,44,0,43,771,123,218,0,Rail,Provider_X,31.42,57.35,7.42,1,11.08,17.64,288.75
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,111,111,3,122,561,100,244,0,Air,Provider_Z,159.38,312.65,12.5,1,169.84,221.85,5594.93
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,48,48,0,50,835,70,150,0,Rail,Provider_Y,104.92,95.76,10.63,1,47.81,65.69,858.44
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,80,80,1,83,597,86,211,0,Road,Provider_Y,103.57,148.65,14.13,1,189.62,243.13,4214.29
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,44,44,1,47,871,60,135,0,Air,Provider_Y,79.34,144.84,4.14,1,224.09,297.08,3133.16
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,64,64,1,63,768,88,205,0,Air,Provider_Y,65.2,144.51,5.82,1,197.08,261.7,4066.96
