date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,105,105,1,108,849,82,208,0,Rail,Provider_Z,169.9,126.6,13.53,1,12.45,20.15,804.28
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,36,36,0,33,710,63,123,0,Air,Provider_X,28.81,56.27,4.72,1,12.09,18.92,245.98
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,45,45,1,42,926,93,174,0,Rail,Provider_Z,74.0,57.99,12.42,0,150.83,212.59,2726.56
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,113,113,1,112,720,118,243,0,Air,Provider_Y,58.3,138.94,4.0,1,179.49,248.41,7725.97
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,80,80,1,75,711,129,220,0,Road,Provider_X,26.31,25.11,10.93,1,43.41,60.44,1347.38
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,47,47,0,46,879,115,174,0,Road,Provider_X,20.34,51.75,8.63,1,14.3,22.5,385.3
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,46,46,0,42,796,125,216,0,Road,Provider_X,31.0,64.09,5.31,1,10.45,15.92,251.49
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,98,98,2,87,540,101,241,0,Air,Provider_Y,146.23,267.92,11.05,1,154.05,214.73,5838.79
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,53,53,0,60,868,71,148,0,Rail,Provider_X,98.53,67.6,10.18,1,42.73,61.31,984.53
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,90,90,1,91,622,87,209,0,Rail,Provider_Y,91.83,76.8,14.39,1,179.21,240.72,5473.04
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,46,46,1,44,825,61,133,0,Road,Provider_X,69.88,62.85,5.34,1,214.03,287.97,3326.01
