date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,95,95,1,95,879,85,214,0,Rail,Provider_Z,167.39,149.73,14.3,1,12.96,19.64,630.13
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,37,37,0,43,704,65,127,0,Road,Provider_Y,28.41,34.77,6.77,1,12.77,18.52,212.67
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,53,53,7,50,984,95,179,0,Air,Provider_Z,77.13,160.92,8.1,1,163.26,197.44,1411.63
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,131,131,5,128,688,122,251,0,Road,Provider_Z,58.29,77.61,5.82,1,192.75,231.87,4786.33
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,79,79,2,86,665,132,227,0,Road,Provider_X,28.26,26.02,10.99,1,44.98,60.15,1167.16
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,44,44,0,45,947,119,179,0,Road,Provider_Y,21.48,57.74,9.15,1,14.75,21.67,304.22
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,44,44,0,43,754,128,223,0,Rail,Provider_Z,30.09,56.85,7.03,1,10.87,16.57,251.09
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,136,127,11,140,546,104,249,1,Air,Provider_X,143.75,259.3,11.68,1,161.26,204.04,4811.07
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,49,49,0,56,919,73,153,0,Air,Provider_Y,101.19,197.55,6.55,1,45.03,60.88,776.84
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,100,100,6,98,644,89,215,0,Rail,Provider_Z,96.66,86.47,17.16,1,184.52,230.31,4191.39
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,51,51,5,50,885,63,137,0,Air,Provider_Z,69.49,127.39,4.25,1,225.29,275.2,2150.89
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,88,88,6,87,743,91,209,0,Road,Provider_Y,64.39,70.04,7.88,1,194.37,228.59,2603.56
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,31,31,0,37,853,86,129,0,Road,Provider_X,93.64,91.33,6.79,0,178.73,209.82,963.81
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,62,62,2,61,556,90,179,0,Road,Provider_Y,57.23,62.91,9.06,1,37.85,54.04,977.55
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,121,121,9,113,1080,68,223,0,Rail,Provider_Y,198.02,164.62,12.08,1,13.55,19.94,730.21
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.79848,-94.784486,30,30,0,36,759,138,179,0,Road,Provider_Y,48.89,124.61,12.89,1,42.94,57.77,444.7
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.504575,-94.696776,123,123,23,122,899,105,226,0,Air,Provider_X,102.04,182.21,8.34,1,188.53,223.94,2837.6
2025-01-01,WH_SOUTH,SKU_D,Electronics,C3122,Rural,30.469428,-94.838613,106,91,12,123,481,47,167,1,Rail,Provider_Y,92.32,79.84,11.83,1,163.55,199.99,2629.54
2025-01-01,WH_SOUTH,SKU_F,Food,C6770,Rural,28.560763,-95.872819,69,64,4,67,840,90,230,1,Rail,Provider_X,143.82,105.66,22.03,1,13.25,19.52,382.53
2025-01-01,WH_SOUTH,SKU_B,Household,C1456,Suburban,30.763348,-94.196475,90,90,0,99,549,70,222,0,Rail,Provider_X,147.09,120.13,16.11,1,36.81,51.03,1279.44
2025-01-01,WH_SOUTH,SKU_H,Household,C2609,Suburban,28.713069,-95.652367,82,82,5,79,664,56,162,0,Road,Provider_Y,119.38,137.73,8.58,1,34.82,47.63,989.21
2025-01-01,WH_SOUTH,SKU_B,Household,C9024,Urban,30.168215,-95.193578,68,68,2,65,552,120,253,0,Rail,Provider_Z,48.96,43.88,12.5,1,41.72,59.4,1173.22
2025-01-01,WH_SOUTH,SKU_D,Electronics,C9580,Suburban,29.127931,-94.056896,88,74,5,86,714,122,244,1,Air,Provider_Z,133.95,235.94,8.75,1,201.24,248.59,3151.53
2025-01-01,WH_SOUTH,SKU_G,Electronics,C9506,Suburban,29.945211,-95.694516,80,80,5,83,875,118,218,0,Rail,Provider_Z,33.98,26.53,17.59,1,183.74,222.85,2807.18
2025-01-01,WH_SOUTH,SKU_E,Household,C2290,Rural,30.605825,-94.616655,43,43,2,44,831,89,168,0,Road,Provider_X,118.2,103.07,19.5,1,44.11,60.15,658.8
2025-01-01,WH_SOUTH,SKU_C,Food,C3256,Suburban,29.925155,-95.167121,53,53,3,56,694,52,155,0,Road,Provider_Z,25.72,21.38,7.09,0,11.95,18.01,308.6
2025-01-01,WH_SOUTH,SKU_F,Food,C7226,Urban,29.797993,-95.707167,76,74,2,70,859,125,223,1,Air,Provider_Y,28.54,76.15,4.0,1,12.28,18.32,438.45
2025-01-01,WH_SOUTH,SKU_H,Household,C4242,Suburban,29.617559,-94.853268,83,83,1,88,970,145,290,0,Air,Provider_Y,47.41,112.98,4.99,1,38.98,53.75,1211.86
2025-01-01,WH_SOUTH,SKU_F,Food,C5633,Urban,29.495029,-95.504365,46,46,0,44,633,109,232,0,Road,Provider_Y,31.35,28.11,12.5,1,12.87,18.85,275.02
2025-01-01,WH_SOUTH,SKU_D,Electronics,C8958,Suburban,29.927308,-94.502392,84,84,5,96,912,63,172,0,Air,Provider_Y,75.86,164.14,4.05,1,172.81,214.58,3205.93
2025-01-01,WH_EAST,SKU_B,Household,C1061,Rural,33.697268,-83.132508,80,80,3,88,989,156,271,0,Road,Provider_X,112.64,108.54,11.67,1,41.73,56.36,1126.41
2025-01-01,WH_EAST,SKU_E,Household,C7469,Suburban,34.450693,-84.288816,88,88,0,71,917,65,199,0,Road,Provider_Z,80.22,80.34,10.91,1,42.41,58.04,1375.43
2025-01-01,WH_EAST,SKU_A,Electronics,C4051,Urban,33.66365,-84.258701,98,82,6,115,497,92,213,1,Road,Provider_Y,14.49,26.42,14.43,0,182.08,227.14,3312.58
2025-01-01,WH_EAST,SKU_C,Food,C7738,Rural,33.344645,-83.817087,87,83,1,97,183,117,230,1,Road,Provider_Y,71.03,53.4,5.74,1,11.18,16.1,404.38
2025-01-01,WH_EAST,SKU_F,Food,C8543,Suburban,33.171719,-84.631621,88,88,2,82,910,88,249,0,Air,Provider_Y,67.42,155.72,5.13,1,11.12,16.61,475.0
2025-01-01,WH_EAST,SKU_F,Food,C8907,Rural,33.154617,-86.68677,67,67,2,75,694,75,183,0,Road,Provider_X,206.56,210.51,12.71,1,12.19,17.96,378.06
2025-01-01,WH_EAST,SKU_C,Food,C8463,Suburban,34.021451,-85.282867,62,62,2,53,668,128,257,0,Road,Provider_Y,84.14,192.92,8.15,1,11.81,17.64,353.29
2025-01-01,WH_EAST,SKU_D,Electronics,C2353,Rural,34.117192,-84.586188,49,49,0,50,794,78,167,0,Air,Provider_Y,44.85,90.31,4.08,1,188.71,222.66,1663.55
2025-01-01,WH_EAST,SKU_B,Household,C4706,Urban,33.915328,-84.229204,21,21,0,22,859,82,137,0,Road,Provider_Y,22.59,18.59,13.0,1,41.12,57.39,341.71
2025-01-01,WH_EAST,SKU_G,Electronics,C4819,Urban,33.151952,-84.668946,79,79,6,76,705,93,217,0,Rail,Provider_X,69.24,61.1,18.57,1,185.91,234.48,3446.09
2025-01-01,WH_EAST,SKU_G,Electronics,C9220,Suburban,34.859309,-82.38306,72,72,0,78,660,93,204,0,Road,Provider_X,209.72,212.99,19.56,0,199.15,241.71,3064.46
2025-01-01,WH_EAST,SKU_C,Food,C3151,Urban,33.752493,-84.168235,41,41,0,33,962,101,192,0,Air,Provider_Y,18.0,42.26,7.45,1,12.6,18.61,246.31
2025-01-01,WH_EAST,SKU_C,Food,C4177,Urban,33.946537,-84.176071,48,48,2,44,667,148,267,0,Road,Provider_X,27.12,31.15,14.56,0,10.31,15.72,252.74
2025-01-01,WH_EAST,SKU_C,Food,C3742,Urban,33.89261,-84.210728,81,81,2,79,927,80,197,0,Air,Provider_Z,21.32,41.55,4.5,1,11.44,17.18,456.7
2025-01-01,WH_EAST,SKU_H,Household,C4220,Urban,33.54172,-83.796031,91,91,4,92,711,93,235,0,Rail,Provider_Z,53.43,54.92,18.57,1,41.32,58.41,1497.51
2025-01-02,WH_NORTH,SKU_F,Food,C1070,Suburban,43.315135,-87.958759,113,113,4,130,909,82,211,0,Rail,Provider_Z,158.28,134.67,13.39,1,10.94,16.42,603.77
2025-01-02,WH_NORTH,SKU_F,Food,C5941,Urban,42.386722,-87.709898,49,49,1,52,1163,105,203,0,Road,Provider_Y,55.38,126.28,5.52,1,12.16,18.23,293.21
2025-01-02,WH_NORTH,SKU_B,Household,C4443,Suburban,41.594362,-86.544372,62,62,2,69,944,90,182,0,Rail,Provider_X,98.26,79.77,12.13,0,40.8,55.09,857.31
2025-01-02,WH_NORTH,SKU_C,Food,C6676,Suburban,42.3062,-89.248176,51,51,2,50,1122,53,178,0,Road,Provider_X,146.21,132.42,6.0,1,14.53,22.35,388.91
2025-01-02,WH_NORTH,SKU_C,Food,C5363,Suburban,42.651238,-87.585694,90,90,0,87,973,86,204,0,Road,Provider_Y,86.19,103.82,5.54,1,11.22,16.14,442.87
2025-01-02,WH_NORTH,SKU_F,Food,C1453,Suburban,41.126647,-88.422031,85,85,2,81,940,87,204,0,Air,Provider_Z,102.55,485.06,4.35,1,13.92,20.04,510.87
2025-01-02,WH_NORTH,SKU_H,Household,C2876,Suburban,41.867739,-88.208719,55,55,0,55,513,117,200,0,Road,Provider_X,47.69,47.32,12.44,1,38.66,56.04,955.85
2025-01-02,WH_NORTH,SKU_D,Electronics,C9656,Urban,42.116077,-87.579225,92,85,0,95,597,102,271,1,Air,Provider_Y,26.33,72.53,6.28,1,199.19,245.28,3917.86
2025-01-02,WH_NORTH,SKU_B,Household,C3253,Rural,41.7445,-87.91544,126,126,3,133,808,88,215,0,Road,Provider_X,28.91,79.66,11.3,1,43.31,60.66,2141.39
2025-01-02,WH_NORTH,SKU_F,Food,C2793,Suburban,41.029314,-87.239527,78,78,0,88,718,114,215,0,Air,Provider_Y,101.01,189.97,4.33,1,11.37,16.84,426.35
