date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,99,99,1,101,845,84,222,0,Road,Provider_Z,166.74,182.52,13.17,1,12.95,19.97,690.13
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,38,38,0,42,656,64,132,0,Rail,Provider_Z,28.65,26.68,8.97,1,12.42,19.15,255.61
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,48,48,2,49,937,94,186,0,Air,Provider_Z,81.4,156.3,8.26,1,158.58,213.2,2510.86
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,113,113,1,107,736,121,260,0,Air,Provider_Y,60.69,143.06,4.0,1,184.8,252.61,7597.86
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,71,71,1,91,665,131,235,0,Air,Provider_Z,27.52,48.42,8.82,1,43.47,65.29,1534.16
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,47,47,0,39,854,118,186,0,Road,Provider_X,20.7,52.39,9.15,1,14.48,22.66,384.57
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,46,46,0,49,728,127,231,0,Air,Provider_X,30.1,122.38,4.43,1,10.79,16.54,264.56
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,106,98,3,118,546,103,258,1,Rail,Provider_X,153.24,115.41,19.76,1,161.94,223.62,5874.9
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,55,55,0,63,813,72,159,0,Road,Provider_Z,101.41,102.55,10.28,1,44.94,63.74,1034.1
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,80,80,1,97,586,88,224,0,Air,Provider_X,100.5,186.03,11.19,1,183.14,243.87,4794.41
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,41,41,1,45,778,62,143,0,Rail,Provider_Z,72.01,56.02,7.53,1,223.54,300.21,3065.47
