date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,131,131,1,136,992,88,225,0,Road,Provider_Y,172.61,191.76,10.0,1,13.09,19.86,882.16
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,52,52,0,52,791,67,133,0,Air,Provider_Z,29.07,60.78,4.26,1,12.54,18.94,332.85
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,45,45,1,42,943,99,187,0,Air,Provider_Y,80.56,161.99,6.96,1,158.15,209.04,2234.53
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,106,104,1,121,772,127,263,1,Road,Provider_Y,62.2,78.85,4.99,1,188.43,250.16,6354.09
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,81,81,1,79,720,138,238,0,Road,Provider_X,28.18,25.44,10.86,1,43.98,63.14,1536.71
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,59,59,0,57,1008,123,187,0,Road,Provider_Y,20.75,57.93,7.43,1,14.8,22.4,448.12
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,61,61,0,63,852,133,233,0,Road,Provider_X,31.56,67.01,4.52,1,10.93,16.72,353.43
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,117,117,3,128,546,108,261,0,Road,Provider_X,143.14,140.85,14.26,1,162.06,214.76,5996.27
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,53,53,0,49,867,76,160,0,Road,Provider_Y,100.25,105.93,8.48,1,44.67,65.39,1098.59
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,85,85,1,92,604,92,226,0,Rail,Provider_Y,97.65,88.86,15.44,1,182.47,239.44,4778.96
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,45,45,1,44,850,65,144,0,Road,Provider_X,71.47,65.18,5.55,1,221.95,300.31,3448.61
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,70,67,1,73,731,95,219,1,Air,Provider_X,64.75,120.0,5.83,1,194.7,248.28,3521.62
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,25,25,0,25,936,89,135,0,Air,Provider_X,90.28,167.03,4.51,1,176.68,230.85,1354.2
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,61,61,1,70,559,94,187,0,Air,Provider_X,58.4,108.72,6.38,0,38.24,54.31,966.79
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,144,144,5,148,1251,70,233,0,Road,Provider_X,199.34,181.69,9.76,1,13.26,20.26,984.34
