date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,91,91,1,89,872,78,202,0,Rail,Provider_Y,177.17,161.47,14.35,1,13.44,20.12,602.67
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,39,39,0,44,645,59,120,0,Air,Provider_X,29.16,59.25,5.19,1,12.73,18.79,236.29
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,42,42,1,40,979,87,169,0,Air,Provider_X,81.35,153.49,8.79,1,162.08,212.48,2060.05
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,98,98,1,78,683,111,236,0,Air,Provider_Z,62.56,141.44,4.27,1,189.88,247.17,5548.25
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,78,78,1,64,650,121,214,0,Road,Provider_Z,28.48,27.59,13.25,0,45.81,61.95,1242.81
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,41,41,0,39,859,109,169,0,Road,Provider_Y,21.21,59.74,8.76,1,15.27,22.82,309.53
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,46,46,0,47,804,117,210,0,Rail,Provider_Y,31.59,61.68,6.3,1,11.34,16.52,238.26
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,110,110,3,114,532,95,234,0,Air,Provider_Y,147.11,286.36,10.98,1,164.66,215.08,5373.26
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,50,50,0,42,860,67,144,0,Rail,Provider_X,104.35,81.02,11.78,1,45.06,63.19,906.53
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,84,84,1,78,603,81,203,0,Rail,Provider_Z,98.93,87.96,18.73,1,187.69,241.86,4484.54
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,42,42,1,40,799,57,129,0,Road,Provider_Z,71.39,70.39,6.25,1,230.3,297.78,2753.55
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,62,62,1,63,727,83,197,0,Road,Provider_Y,66.94,70.31,8.7,1,195.13,260.4,3978.42
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,25,25,0,25,830,78,122,0,Air,Provider_X,92.27,173.13,4.75,0,183.14,227.71,1114.26
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,56,56,1,51,519,82,169,0,Air,Provider_Y,59.69,116.81,7.03,1,37.98,55.69,978.15
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,112,112,5,104,1068,62,210,0,Air,Provider_Z,210.9,364.11,9.04,1,13.81,20.45,720.54
