date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,95,95,1,100,830,80,204,0,Road,Provider_X,170.9,169.03,12.68,1,12.48,19.7,680.88
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,39,39,0,41,686,61,121,0,Air,Provider_X,30.68,53.94,4.82,1,11.59,19.52,309.39
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,40,40,1,39,920,90,170,0,Rail,Provider_X,76.22,64.53,11.89,1,153.73,214.48,2376.08
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,104,104,1,116,671,115,239,0,Road,Provider_X,61.69,70.6,5.64,1,182.5,256.72,7654.53
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,81,78,1,88,713,125,216,1,Road,Provider_Y,27.64,27.01,10.52,1,43.17,63.13,1541.31
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,44,44,0,43,860,112,170,0,Air,Provider_X,20.5,95.87,6.69,1,14.32,22.49,359.2
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,45,45,0,42,749,121,212,0,Air,Provider_Y,30.79,131.49,4.0,1,10.72,16.93,279.46
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,113,113,3,110,536,98,237,0,Road,Provider_Y,144.27,148.86,14.81,1,158.35,220.16,6817.83
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,56,56,0,58,858,69,146,0,Road,Provider_Y,100.75,100.25,8.47,1,42.28,63.96,1214.3
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,84,84,1,81,596,84,205,0,Air,Provider_Z,101.81,185.08,10.45,0,175.06,247.73,6043.21
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,42,42,1,43,816,59,131,0,Road,Provider_Z,69.88,65.19,5.61,1,213.31,301.36,3623.65
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,72,72,1,80,712,86,199,0,Road,Provider_Y,63.03,66.54,8.23,1,184.67,259.55,5326.91
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,22,22,0,22,822,81,123,0,Road,Provider_Z,91.4,91.64,6.36,1,172.3,235.41,1388.58
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,62,62,1,60,522,85,170,0,Road,Provider_X,59.34,56.96,9.45,1,37.06,55.86,1152.65
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,111,111,4,118,1033,64,212,0,Rail,Provider_X,195.99,145.0,13.1,1,12.91,20.57,832.49
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.79848,-94.784486,28,28,0,30,709,130,170,0,Road,Provider_Z,49.63,108.06,11.53,1,38.7,59.18,573.59
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.504575,-94.696776,99,97,4,91,793,99,215,1,Air,Provider_Y,96.47,183.31,5.93,1,175.37,246.41,6645.63
2025-01-01,WH_SOUTH,SKU_D,Electronics,C3122,Rural,30.469428,-94.838613,96,96,3,95,456,44,159,0,Air,Provider_Z,97.24,160.02,6.86,1,150.99,209.3,5439.26
2025-01-01,WH_SOUTH,SKU_F,Food,C6770,Rural,28.560763,-95.872819,70,70,3,70,714,85,219,0,Air,Provider_X,148.73,224.25,10.56,1,12.47,19.98,513.21
2025-01-01,WH_SOUTH,SKU_B,Household,C1456,Suburban,30.763348,-94.196475,108,108,0,100,484,66,211,0,Rail,Provider_Y,147.78,121.89,12.03,1,34.53,53.31,2028.26
