date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,80,80,1,88,1088,92,227,0,Road,Provider_Z,170.69,177.66,12.21,1,12.61,19.49,546.19
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,32,32,0,32,882,70,134,0,Road,Provider_Y,29.38,32.46,6.56,1,11.92,18.44,208.49
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,35,35,1,33,1221,103,189,0,Air,Provider_Y,78.02,156.3,7.58,1,152.59,205.05,1782.77
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,73,73,1,75,937,132,265,0,Road,Provider_Z,60.04,71.9,5.75,1,178.58,243.2,4654.73
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,57,57,1,64,924,144,240,0,Air,Provider_Z,28.28,47.33,8.02,1,42.49,59.86,975.1
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,37,37,0,39,1154,129,189,0,Rail,Provider_Y,20.75,44.77,10.0,1,13.95,21.98,296.89
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,35,35,0,35,980,139,235,0,Road,Provider_Z,28.89,68.38,5.39,1,10.72,16.07,187.3
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,81,81,2,82,682,113,263,0,Rail,Provider_X,151.88,111.49,17.8,1,156.43,214.83,4620.63
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,47,47,0,46,1052,79,162,0,Air,Provider_Y,99.18,190.23,6.37,1,43.36,61.12,834.61
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,62,62,1,60,774,97,228,0,Air,Provider_X,95.84,183.42,10.04,1,180.57,234.79,3298.89
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,37,37,1,38,1096,68,145,0,Air,Provider_Y,70.93,123.42,4.0,1,210.03,285.87,2732.59
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,49,49,1,47,970,99,221,0,Air,Provider_Y,64.96,124.0,5.74,1,186.02,240.96,2626.74
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,20,20,0,19,1105,93,136,0,Air,Provider_X,93.03,160.36,4.89,1,169.63,222.84,1064.2
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,49,49,1,46,708,98,189,0,Road,Provider_Y,59.7,61.1,8.75,1,36.76,54.12,838.21
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,92,92,4,87,1394,74,235,0,Road,Provider_X,194.86,174.42,11.59,1,12.73,19.89,640.7
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.79848,-94.784486,22,22,0,23,964,150,189,0,Rail,Provider_Z,47.26,90.97,15.72,1,39.73,57.01,380.23
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.504575,-94.696776,79,79,3,77,1015,114,239,0,Rail,Provider_X,97.24,77.33,12.63,1,180.53,244.84,4890.72
2025-01-01,WH_SOUTH,SKU_D,Electronics,C3122,Rural,30.469428,-94.838613,65,65,2,56,603,51,177,0,Air,Provider_Y,94.78,168.41,7.53,1,152.91,207.65,3451.08
2025-01-01,WH_SOUTH,SKU_F,Food,C6770,Rural,28.560763,-95.872819,54,54,2,51,907,98,243,0,Road,Provider_Y,148.05,133.35,18.18,1,12.68,19.37,352.6
2025-01-01,WH_SOUTH,SKU_B,Household,C1456,Suburban,30.763348,-94.196475,77,77,0,78,664,76,234,0,Rail,Provider_X,149.11,115.04,16.15,1,35.25,49.87,1125.59
2025-01-01,WH_SOUTH,SKU_H,Household,C2609,Suburban,28.713069,-95.652367,70,70,3,68,792,61,172,0,Rail,Provider_Y,112.94,106.51,9.72,1,32.84,46.68,934.12
2025-01-01,WH_SOUTH,SKU_B,Household,C9024,Urban,30.168215,-95.193578,53,53,1,51,671,130,267,0,Rail,Provider_X,46.94,39.75,11.4,1,39.34,56.92,918.19
2025-01-01,WH_SOUTH,SKU_D,Electronics,C9580,Suburban,29.127931,-94.056896,60,60,1,58,845,132,258,0,Air,Provider_Y,128.81,235.34,8.34,1,193.15,252.35,3484.53
2025-01-01,WH_SOUTH,SKU_G,Electronics,C9506,Suburban,29.945211,-95.694516,49,49,1,47,1033,128,231,0,Air,Provider_Z,34.17,57.1,10.93,1,175.29,240.18,3117.98
2025-01-01,WH_SOUTH,SKU_E,Household,C2290,Rural,30.605825,-94.616655,38,38,1,37,962,97,178,0,Road,Provider_X,114.25,98.44,18.93,1,42.13,59.6,649.05
2025-01-01,WH_SOUTH,SKU_C,Food,C3256,Suburban,29.925155,-95.167121,42,42,2,40,834,56,164,0,Rail,Provider_Z,25.39,16.96,8.33,1,11.56,17.44,238.91
2025-01-01,WH_SOUTH,SKU_F,Food,C7226,Urban,29.797993,-95.707167,67,67,1,65,1066,136,235,0,Road,Provider_Y,27.74,37.89,5.06,1,11.3,18.32,466.04
2025-01-01,WH_SOUTH,SKU_H,Household,C4242,Suburban,29.617559,-94.853268,69,69,1,70,1176,158,307,0,Road,Provider_Y,45.09,58.41,7.03,1,37.29,54.96,1206.46
2025-01-01,WH_SOUTH,SKU_F,Food,C5633,Urban,29.495029,-95.504365,39,39,0,38,745,118,245,0,Rail,Provider_Y,30.59,21.86,13.66,1,12.21,18.39,241.27
2025-01-01,WH_SOUTH,SKU_D,Electronics,C8958,Suburban,29.927308,-94.502392,57,57,1,63,1148,68,182,0,Rail,Provider_X,78.55,65.24,6.32,1,167.61,223.03,3100.31
2025-01-01,WH_EAST,SKU_B,Household,C1061,Rural,33.697268,-83.132508,69,69,2,77,1182,169,287,0,Road,Provider_X,108.26,102.47,11.8,1,39.4,55.63,1092.36
2025-01-01,WH_EAST,SKU_E,Household,C7469,Suburban,34.450693,-84.288816,71,71,0,66,1059,70,210,0,Road,Provider_Y,77.89,80.08,9.88,1,40.68,59.34,1324.7
2025-01-01,WH_EAST,SKU_A,Electronics,C4051,Urban,33.66365,-84.258701,61,61,1,66,625,100,226,0,Road,Provider_Z,13.9,23.93,15.79,1,171.39,234.45,3786.76
2025-01-01,WH_EAST,SKU_C,Food,C7738,Rural,33.344645,-83.817087,65,65,1,70,233,126,243,0,Air,Provider_Y,66.59,94.5,4.1,0,10.69,16.15,351.11
2025-01-01,WH_EAST,SKU_F,Food,C8543,Suburban,33.171719,-84.631621,77,77,1,73,1066,95,263,0,Road,Provider_Z,63.41,76.92,8.41,0,10.56,16.3,438.38
2025-01-01,WH_EAST,SKU_F,Food,C8907,Rural,33.154617,-86.68677,54,54,1,57,828,82,194,0,Rail,Provider_Y,211.09,178.17,14.14,1,11.63,17.67,322.31
2025-01-01,WH_EAST,SKU_C,Food,C8463,Suburban,34.021451,-85.282867,50,50,1,52,807,139,272,0,Road,Provider_Z,82.71,174.56,8.7,1,11.11,16.75,277.99
2025-01-01,WH_EAST,SKU_D,Electronics,C2353,Rural,34.117192,-84.586188,32,32,0,30,932,85,177,0,Road,Provider_Z,46.17,43.28,6.11,1,173.88,238.27,2060.48
2025-01-01,WH_EAST,SKU_B,Household,C4706,Urban,33.915328,-84.229204,17,17,0,15,1077,89,145,0,Road,Provider_X,22.93,16.52,13.93,1,39.53,56.11,281.88
2025-01-01,WH_EAST,SKU_G,Electronics,C4819,Urban,33.151952,-84.668946,45,45,1,47,825,101,230,0,Rail,Provider_Y,68.74,65.34,16.55,1,183.79,256.09,3189.21
2025-01-01,WH_EAST,SKU_G,Electronics,C9220,Suburban,34.859309,-82.38306,41,41,0,41,845,101,216,0,Air,Provider_Y,220.58,403.02,13.14,1,188.32,252.53,2632.66
2025-01-01,WH_EAST,SKU_C,Food,C3151,Urban,33.752493,-84.168235,34,34,0,32,1206,109,204,0,Rail,Provider_Z,17.68,16.9,12.43,1,11.81,18.61,230.97
2025-01-01,WH_EAST,SKU_C,Food,C4177,Urban,33.946537,-84.176071,40,40,1,39,860,161,283,0,Rail,Provider_X,27.42,24.87,16.22,0,10.04,15.57,217.95
2025-01-01,WH_EAST,SKU_C,Food,C3742,Urban,33.89261,-84.210728,67,67,1,73,1166,86,208,0,Air,Provider_Z,21.44,39.69,4.0,1,10.93,16.43,365.06
2025-01-01,WH_EAST,SKU_H,Household,C4220,Urban,33.54172,-83.796031,71,71,2,76,815,101,249,0,Road,Provider_Z,54.8,64.52,16.17,1,39.81,56.04,1125.08
2025-01-02,WH_NORTH,SKU_F,Food,C1070,Suburban,43.315135,-87.958759,95,95,1,101,1188,89,223,0,Air,Provider_Z,159.35,291.74,8.33,1,10.5,16.38,554.7
2025-01-02,WH_NORTH,SKU_F,Food,C5941,Urban,42.386722,-87.709898,40,40,1,44,1438,114,215,0,Road,Provider_Y,57.13,122.89,5.28,1,11.84,18.29,253.79
2025-01-02,WH_NORTH,SKU_B,Household,C4443,Suburban,41.594362,-86.544372,44,44,1,47,1260,98,193,0,Road,Provider_X,96.74,91.59,10.18,1,38.41,54.95,714.44
2025-01-02,WH_NORTH,SKU_C,Food,C6676,Suburban,42.3062,-89.248176,40,39,1,42,1496,57,188,1,Rail,Provider_X,143.23,101.34,6.53,1,13.56,21.17,292.21
2025-01-02,WH_NORTH,SKU_C,Food,C5363,Suburban,42.651238,-87.585694,71,71,0,81,1160,93,216,0,Road,Provider_X,85.04,92.45,6.31,1,10.81,16.56,408.29
2025-01-02,WH_NORTH,SKU_F,Food,C1453,Suburban,41.126647,-88.422031,71,71,1,68,1215,94,216,0,Road,Provider_Z,109.98,243.8,6.22,0,12.94,20.23,512.86
2025-01-02,WH_NORTH,SKU_H,Household,C2876,Suburban,41.867739,-88.208719,42,42,0,45,643,126,211,0,Road,Provider_Y,47.53,48.37,11.94,1,36.53,55.3,788.25
2025-01-02,WH_NORTH,SKU_D,Electronics,C9656,Urban,42.116077,-87.579225,58,58,0,60,790,110,287,0,Air,Provider_Y,25.34,67.8,5.63,1,186.2,262.73,4438.64
2025-01-02,WH_NORTH,SKU_B,Household,C3253,Rural,41.7445,-87.91544,95,95,2,94,949,95,228,0,Road,Provider_Z,30.06,76.95,11.29,1,40.19,59.28,1785.53
2025-01-02,WH_NORTH,SKU_F,Food,C2793,Suburban,41.029314,-87.239527,66,66,0,68,898,124,228,0,Air,Provider_Y,93.07,180.95,4.49,1,10.83,17.04,409.68
2025-01-02,WH_NORTH,SKU_H,Household,C4797,Urban,42.374148,-87.486406,24,24,0,22,1291,95,188,0,Air,Provider_X,54.06,96.51,4.0,1,31.61,45.48,332.98
2025-01-02,WH_NORTH,SKU_G,Electronics,C1516,Urban,42.420975,-87.677838,43,43,0,45,949,109,217,0,Road,Provider_Y,59.2,60.02,7.07,1,168.67,232.94,2763.5
2025-01-02,WH_NORTH,SKU_E,Household,C4035,Suburban,41.869438,-87.49955,67,67,0,66,978,74,204,0,Road,Provider_Y,11.08,38.64,10.1,1,46.75,67.59,1396.22
2025-01-02,WH_NORTH,SKU_H,Household,C9233,Rural,40.508058,-85.752074,73,73,2,74,1003,109,253,0,Rail,Provider_X,232.97,163.51,9.19,1,38.47,56.74,1306.63
2025-01-02,WH_NORTH,SKU_B,Household,C4698,Urban,41.539038,-87.501757,40,40,1,37,618,62,156,0,Air,Provider_Y,36.95,54.36,8.39,1,34.6,51.32,656.98
2025-01-02,WH_SOUTH,SKU_H,Household,C7375,Urban,29.821128,-95.926275,82,82,1,78,1290,102,264,0,Road,Provider_Y,44.86,54.45,8.57,1,33.32,46.59,1076.65
2025-01-02,WH_SOUTH,SKU_H,Household,C4819,Rural,30.578857,-94.069616,50,50,0,50,892,162,258,0,Rail,Provider_Z,148.14,113.74,15.1,0,34.28,47.32,651.97
2025-01-02,WH_SOUTH,SKU_F,Food,C2899,Urban,29.516915,-95.087789,33,33,1,33,1036,109,178,0,Air,Provider_Y,34.0,71.48,9.55,1,9.58,15.41,189.03
2025-01-02,WH_SOUTH,SKU_G,Electronics,C7405,Urban,29.949342,-95.461497,67,67,1,62,965,113,248,0,Air,Provider_X,22.0,52.17,4.48,1,178.58,236.42,3812.63
2025-01-02,WH_SOUTH,SKU_H,Household,C8934,Urban,30.117668,-95.807566,43,43,0,43,773,135,228,0,Road,Provider_Y,51.73,57.91,9.95,1,37.66,53.87,696.81
2025-01-02,WH_SOUTH,SKU_G,Electronics,C2492,Suburban,30.421803,-95.540132,45,45,0,48,1143,125,235,0,Road,Provider_Y,75.49,56.09,6.97,1,171.39,232.81,2763.62
2025-01-02,WH_SOUTH,SKU_E,Household,C4224,Urban,30.756816,-95.330231,71,71,2,79,938,130,238,0,Rail,Provider_X,106.71,82.66,15.57,1,38.78,54.68,1101.65
2025-01-02,WH_SOUTH,SKU_A,Electronics,C5521,Suburban,28.508436,-95.470996,51,51,1,53,786,97,205,0,Air,Provider_X,139.22,252.37,9.58,1,182.95,247.33,3219.39
2025-01-02,WH_SOUTH,SKU_G,Electronics,C8333,Suburban,31.635889,-94.305706,60,60,0,56,943,124,232,0,Rail,Provider_Y,220.34,171.89,16.65,1,161.38,214.89,3210.72
2025-01-02,WH_SOUTH,SKU_H,Household,C2927,Urban,30.379379,-94.994155,73,73,1,82,692,153,336,0,Road,Provider_X,75.7,79.8,6.97,1,42.81,63.73,1512.57
2025-01-02,WH_SOUTH,SKU_A,Electronics,C4410,Urban,29.312994,-95.355767,48,48,0,51,728,158,248,0,Air,Provider_Y,48.02,107.23,4.0,1,194.21,261.0,3205.99
2025-01-02,WH_SOUTH,SKU_C,Food,C9194,Urban,29.423594,-96.060039,39,39,1,37,1037,108,256,0,Air,Provider_X,70.1,113.82,5.44,1,10.59,16.56,229.25
2025-01-02,WH_SOUTH,SKU_F,Food,C5983,Suburban,30.1033,-94.805038,72,72,0,68,678,59,209,0,Road,Provider_X,60.29,67.04,12.52,1,12.61,20.57,573.36
2025-01-02,WH_SOUTH,SKU_D,Electronics,C1707,Urban,30.710712,-95.203259,32,32,1,36,643,92,174,0,Road,Provider_X,103.9,92.44,7.83,1,158.86,215.55,1758.48
2025-01-02,WH_SOUTH,SKU_F,Food,C1900,Urban,29.324524,-94.848334,31,31,0,32,1199,107,215,0,Air,Provider_X,63.49,107.64,6.93,1,12.18,19.34,221.97
2025-01-02,WH_EAST,SKU_E,Household,C6244,Urban,33.482148,-84.545778,45,45,0,44,727,80,161,0,Air,Provider_X,31.88,65.81,10.43,1,38.57,54.09,698.21
2025-01-02,WH_EAST,SKU_A,Electronics,C5878,Urban,33.881466,-84.220339,34,34,0,32,775,141,252,0,Air,Provider_Y,20.45,46.92,6.72,1,187.03,251.54,2193.4
