date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,102,102,0,99,864,83,210,0,Air,Provider_X,169.3,337.19,9.16,1,12.46,19.96,764.19
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,37,37,0,37,716,63,124,0,Rail,Provider_Y,28.63,23.89,8.35,1,11.89,19.45,279.43
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,42,42,1,40,995,94,175,0,Rail,Provider_Z,79.8,59.49,14.08,0,151.31,216.72,2694.48
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,111,111,1,112,740,120,246,0,Air,Provider_X,59.26,138.7,4.24,1,179.45,247.64,7506.41
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,79,79,1,68,709,130,222,0,Road,Provider_Y,27.88,26.21,11.05,1,42.74,62.37,1535.84
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,46,46,0,47,965,116,175,0,Road,Provider_Y,20.73,53.55,9.29,1,13.96,21.72,356.96
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,47,47,0,46,766,126,218,0,Air,Provider_X,30.07,129.04,4.16,1,10.53,16.55,282.95
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,111,106,3,99,535,102,244,1,Rail,Provider_X,147.3,99.91,20.28,0,155.77,217.03,6330.59
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,54,54,0,49,915,72,150,0,Rail,Provider_X,97.02,68.57,11.66,1,42.38,63.96,1165.63
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,81,81,1,85,665,87,211,0,Road,Provider_Z,97.26,99.3,15.41,1,177.3,237.61,4823.17
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,40,40,1,41,851,61,135,0,Air,Provider_X,70.93,123.47,4.35,1,210.45,289.02,3069.32
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,64,64,1,65,731,89,205,0,Road,Provider_Z,65.81,61.99,9.8,1,182.43,249.67,4239.55
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,24,24,0,25,855,84,126,0,Rail,Provider_Z,91.9,65.52,7.84,1,166.92,227.35,1450.28
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,58,58,1,62,537,88,175,0,Rail,Provider_Y,58.29,44.21,10.69,1,36.04,54.4,1052.27
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,108,108,5,116,1120,67,218,0,Rail,Provider_Z,200.84,133.98,15.19,1,12.73,19.94,755.6
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.79848,-94.784486,27,27,0,27,758,135,175,0,Rail,Provider_X,49.23,79.36,17.02,1,40.08,59.56,525.84
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.504575,-94.696776,93,93,4,102,878,103,221,0,Rail,Provider_Z,100.36,71.98,13.95,1,179.4,247.28,6061.78
2025-01-01,WH_SOUTH,SKU_D,Electronics,C3122,Rural,30.469428,-94.838613,85,78,2,83,499,46,164,1,Road,Provider_Z,91.95,87.6,12.13,1,156.04,210.83,4164.3
2025-01-01,WH_SOUTH,SKU_F,Food,C6770,Rural,28.560763,-95.872819,71,65,3,70,823,88,225,1,Road,Provider_Y,148.5,133.34,18.96,1,12.94,19.68,424.91
2025-01-01,WH_SOUTH,SKU_B,Household,C1456,Suburban,30.763348,-94.196475,101,101,0,96,559,69,217,0,Rail,Provider_X,150.56,103.06,17.7,1,35.09,52.28,1736.11
2025-01-01,WH_SOUTH,SKU_H,Household,C2609,Suburban,28.713069,-95.652367,81,81,3,89,637,55,159,0,Road,Provider_Y,123.14,127.89,9.05,1,32.99,48.22,1198.4
2025-01-01,WH_SOUTH,SKU_B,Household,C9024,Urban,30.168215,-95.193578,71,71,1,77,543,118,248,0,Road,Provider_Y,47.53,52.4,10.31,1,40.11,57.99,1255.72
2025-01-01,WH_SOUTH,SKU_D,Electronics,C9580,Suburban,29.127931,-94.056896,75,73,1,74,735,120,240,1,Rail,Provider_Y,131.13,94.3,14.42,1,194.01,263.83,5028.64
2025-01-01,WH_SOUTH,SKU_G,Electronics,C9506,Suburban,29.945211,-95.694516,64,64,1,74,859,115,214,0,Road,Provider_X,32.98,28.98,16.53,1,174.84,239.94,4105.18
2025-01-01,WH_SOUTH,SKU_E,Household,C2290,Rural,30.605825,-94.616655,43,43,1,44,930,87,165,0,Rail,Provider_X,118.93,72.97,24.64,1,42.31,60.96,787.09
2025-01-01,WH_SOUTH,SKU_C,Food,C3256,Suburban,29.925155,-95.167121,57,57,2,61,682,51,152,0,Air,Provider_Z,24.6,41.52,5.4,1,11.62,18.07,359.77
2025-01-01,WH_SOUTH,SKU_F,Food,C7226,Urban,29.797993,-95.707167,76,76,1,64,871,123,218,0,Air,Provider_X,28.3,73.25,4.14,1,11.83,18.19,479.53
2025-01-01,WH_SOUTH,SKU_H,Household,C4242,Suburban,29.617559,-94.853268,87,85,1,88,976,142,285,1,Road,Provider_X,47.97,52.89,7.85,1,37.26,55.1,1502.86
2025-01-01,WH_SOUTH,SKU_F,Food,C5633,Urban,29.495029,-95.504365,48,48,0,43,629,107,227,0,Air,Provider_X,30.58,48.07,10.09,1,11.92,18.96,338.09
2025-01-01,WH_SOUTH,SKU_D,Electronics,C8958,Suburban,29.927308,-94.502392,69,69,1,67,904,61,168,0,Air,Provider_X,76.51,157.73,4.58,1,166.31,225.06,3995.17
2025-01-01,WH_EAST,SKU_B,Household,C1061,Rural,33.697268,-83.132508,81,81,2,95,1036,153,266,0,Rail,Provider_X,110.46,75.4,14.06,1,39.28,58.15,1500.65
2025-01-01,WH_EAST,SKU_E,Household,C7469,Suburban,34.450693,-84.288816,87,83,0,96,954,63,195,1,Air,Provider_Y,77.88,159.51,7.61,1,40.55,59.46,1569.19
2025-01-01,WH_EAST,SKU_A,Electronics,C4051,Urban,33.66365,-84.258701,79,70,1,71,517,90,209,1,Air,Provider_Y,13.97,49.63,11.29,1,171.2,239.46,4718.3
2025-01-01,WH_EAST,SKU_C,Food,C7738,Rural,33.344645,-83.817087,82,75,0,84,192,114,225,1,Road,Provider_Z,69.19,47.62,6.4,1,10.57,16.33,431.95
