date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.382753,-88.063631,85,83,1,86,799,82,208,1,Rail,Provider_X,173.49,155.42,14.3,1,14.0,22.56,706.22
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.142353,-87.577471,34,34,0,36,686,62,123,0,Road,Provider_Z,29.29,36.25,7.32,1,13.84,22.34,289.16
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.383669,-88.298586,40,40,1,39,903,92,174,0,Road,Provider_Y,76.0,101.14,10.69,1,182.68,258.36,2963.41
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.799927,-88.345671,93,93,1,93,706,117,243,0,Air,Provider_Y,59.0,165.03,4.0,1,213.19,308.54,8792.95
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.06031,-87.838847,66,66,1,66,699,128,220,0,Road,Provider_X,27.67,28.55,10.85,1,49.35,76.4,1768.17
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.904029,-87.872486,38,38,0,32,955,114,174,0,Air,Provider_Z,20.73,110.52,6.83,1,15.86,25.93,382.66
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.983695,-87.970288,44,44,0,44,762,123,216,0,Road,Provider_Z,30.19,76.58,5.73,1,12.0,19.38,324.76
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.878252,-86.536366,94,94,2,95,557,100,241,0,Air,Provider_Z,148.24,314.4,11.65,1,187.87,262.87,6918.18
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.544834,-88.448622,50,50,0,46,851,70,148,0,Rail,Provider_X,96.06,91.5,11.33,1,50.9,79.34,1422.09
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.31941,-86.602961,73,73,1,73,616,86,209,0,Rail,Provider_Y,99.57,101.63,15.57,1,208.69,294.1,6161.85
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.558746,-86.913692,38,38,1,32,763,60,133,0,Road,Provider_Y,71.86,80.04,5.29,1,252.01,356.16,3869.62
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.269229,-87.055609,64,64,1,57,742,88,203,0,Air,Provider_X,66.3,129.09,6.24,1,209.46,308.67,6276.04
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.654834,-87.8938,22,22,0,21,847,83,125,0,Road,Provider_Y,96.2,112.32,6.09,1,203.2,286.7,1836.97
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.174902,-87.034262,55,55,1,50,545,87,174,0,Air,Provider_Z,58.54,128.03,7.14,1,43.26,65.74,1220.98
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.658868,-89.735944,101,101,5,105,1045,65,216,0,Rail,Provider_X,202.33,164.74,12.9,1,14.67,24.11,927.68
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.79848,-94.784486,24,24,0,25,808,133,174,0,Road,Provider_Z,51.21,131.3,13.95,1,47.02,73.89,644.87
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.504575,-94.696776,88,88,4,86,839,101,219,0,Air,Provider_Z,95.96,210.93,8.27,1,209.7,310.1,8541.75
2025-01-01,WH_SOUTH,SKU_D,Electronics,C3122,Rural,30.469428,-94.838613,73,73,2,72,509,45,163,0,Air,Provider_X,92.9,186.13,8.55,1,182.8,266.26,5964.6
2025-01-01,WH_SOUTH,SKU_F,Food,C6770,Rural,28.560763,-95.872819,58,56,2,55,786,87,223,1,Air,Provider_Y,148.04,279.59,13.26,1,14.37,23.49,500.86
2025-01-01,WH_SOUTH,SKU_B,Household,C1456,Suburban,30.763348,-94.196475,83,83,0,90,539,67,215,0,Road,Provider_Z,149.56,170.52,14.04,1,41.16,63.81,1879.8
2025-01-01,WH_SOUTH,SKU_H,Household,C2609,Suburban,28.713069,-95.652367,70,70,2,62,651,54,158,0,Air,Provider_Z,117.41,274.27,6.87,1,38.95,60.44,1476.92
2025-01-01,WH_SOUTH,SKU_B,Household,C9024,Urban,30.168215,-95.193578,64,64,1,62,524,115,245,0,Air,Provider_X,46.65,107.92,7.1,1,47.34,71.74,1545.43
2025-01-01,WH_SOUTH,SKU_D,Electronics,C9580,Suburban,29.127931,-94.056896,67,62,1,64,692,117,237,1,Road,Provider_X,126.97,141.51,11.54,1,232.4,312.47,4883.08
2025-01-01,WH_SOUTH,SKU_G,Electronics,C9506,Suburban,29.945211,-95.694516,59,59,1,57,860,113,212,0,Road,Provider_Z,34.7,36.03,15.48,0,204.65,300.0,5554.19
2025-01-01,WH_SOUTH,SKU_E,Household,C2290,Rural,30.605825,-94.616655,36,36,1,34,833,86,164,0,Road,Provider_Y,116.14,128.53,17.96,1,50.86,78.88,991.1
2025-01-01,WH_SOUTH,SKU_C,Food,C3256,Suburban,29.925155,-95.167121,48,48,2,41,664,50,150,0,Rail,Provider_Z,25.5,19.36,8.37,0,13.2,21.58,392.92
2025-01-01,WH_SOUTH,SKU_F,Food,C7226,Urban,29.797993,-95.707167,72,72,1,67,796,120,216,0,Road,Provider_Z,28.2,42.76,5.64,1,13.26,21.59,595.19
