date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_C,Food,C8605,Suburban,40.392796,-88.084448,96,96,1,91,952,86,216,0,Road,Provider_Z,166.86,175.3,11.2,1,12.44,20.26,746.37
2025-01-01,WH_NORTH,SKU_C,Food,C1581,Urban,42.141258,-87.589528,38,38,0,39,746,66,128,0,Road,Provider_Z,29.06,31.59,6.18,1,12.06,18.85,258.05
2025-01-01,WH_NORTH,SKU_A,Electronics,C2960,Urban,41.39416,-88.288564,44,44,1,46,1011,97,181,0,Air,Provider_X,77.65,149.46,6.92,1,157.83,215.24,2471.02
2025-01-01,WH_NORTH,SKU_A,Electronics,C4233,Urban,41.801223,-88.350916,111,111,2,112,813,124,253,0,Rail,Provider_X,60.12,58.0,5.56,1,182.84,252.22,7573.03
2025-01-01,WH_NORTH,SKU_H,Household,C8368,Rural,42.059121,-87.828273,78,78,1,85,754,135,229,0,Air,Provider_Z,27.75,47.59,7.81,1,42.72,64.32,1670.11
2025-01-01,WH_NORTH,SKU_C,Food,C3618,Urban,41.89911,-87.890959,45,45,0,44,940,121,181,0,Rail,Provider_Y,19.09,46.24,8.5,1,14.41,22.44,361.24
2025-01-01,WH_NORTH,SKU_C,Food,C2918,Urban,41.988708,-87.976119,48,48,0,47,823,131,225,0,Road,Provider_Y,31.65,72.07,4.68,1,10.87,17.23,305.53
2025-01-01,WH_NORTH,SKU_A,Electronics,C1165,Suburban,42.876825,-86.548138,98,98,2,97,578,106,251,0,Road,Provider_X,141.58,138.17,13.73,1,158.98,227.45,6599.57
2025-01-01,WH_NORTH,SKU_B,Household,C8387,Urban,42.541014,-88.445023,51,51,0,50,932,75,154,0,Road,Provider_X,98.06,94.88,8.37,1,43.27,65.79,1148.29
2025-01-01,WH_NORTH,SKU_G,Electronics,C9099,Urban,42.319749,-86.60851,83,83,1,87,659,91,217,0,Road,Provider_Z,95.27,102.31,13.68,1,179.03,244.97,5409.93
2025-01-01,WH_NORTH,SKU_G,Electronics,C8220,Suburban,41.552874,-86.918875,44,44,1,48,911,64,139,0,Air,Provider_X,69.05,117.64,4.0,1,216.55,298.57,3532.92
2025-01-01,WH_NORTH,SKU_G,Electronics,C8106,Urban,42.25777,-87.054594,68,68,1,69,819,93,211,0,Rail,Provider_X,66.86,51.6,8.87,1,188.91,264.4,5067.46
2025-01-01,WH_NORTH,SKU_D,Electronics,C5626,Rural,42.659408,-87.885231,25,25,0,26,929,87,130,0,Road,Provider_X,93.63,88.85,5.68,1,173.88,236.46,1564.51
2025-01-01,WH_NORTH,SKU_B,Household,C3962,Urban,42.189603,-87.026217,61,61,1,59,602,92,181,0,Rail,Provider_Y,57.98,50.61,9.34,1,37.13,54.12,1023.86
2025-01-01,WH_NORTH,SKU_C,Food,C2925,Suburban,42.653955,-89.740492,122,122,5,118,1195,69,225,0,Air,Provider_X,198.2,327.69,7.58,1,12.93,20.63,917.14
2025-01-01,WH_SOUTH,SKU_H,Household,C3325,Suburban,29.786977,-94.780412,28,28,0,25,877,140,181,0,Road,Provider_X,49.35,111.31,12.64,1,41.49,61.8,568.5
2025-01-01,WH_SOUTH,SKU_G,Electronics,C6879,Urban,30.498244,-94.713639,104,104,4,103,956,107,228,0,Air,Provider_Z,100.18,180.72,7.21,1,179.66,249.27,6987.43
2025-01-01,WH_SOUTH,SKU_D,Electronics,C3122,Rural,30.468508,-94.840688,91,91,2,95,510,48,169,0,Rail,Provider_Z,92.27,74.0,12.1,1,157.52,216.16,5225.94
2025-01-01,WH_SOUTH,SKU_F,Food,C6770,Rural,28.561127,-95.881362,70,70,3,71,848,92,232,0,Rail,Provider_X,151.27,101.38,20.37,1,12.71,20.06,501.03
2025-01-01,WH_SOUTH,SKU_B,Household,C1456,Suburban,30.763312,-94.19748,97,97,0,101,575,71,224,0,Rail,Provider_X,149.87,115.03,15.67,1,35.25,53.53,1773.27
2025-01-01,WH_SOUTH,SKU_H,Household,C2609,Suburban,28.711801,-95.648517,91,91,4,91,710,57,164,0,Rail,Provider_X,118.22,99.9,9.8,1,33.32,49.77,1450.57
2025-01-01,WH_SOUTH,SKU_B,Household,C9024,Urban,30.170987,-95.187449,65,65,1,69,583,122,255,0,Road,Provider_X,46.31,50.44,9.02,1,40.93,58.42,1122.73
2025-01-01,WH_SOUTH,SKU_D,Electronics,C9580,Suburban,29.1255,-94.057901,80,80,1,83,760,124,247,0,Air,Provider_X,128.86,219.2,7.86,1,194.59,269.3,5908.63
2025-01-01,WH_SOUTH,SKU_G,Electronics,C9506,Suburban,29.950318,-95.69068,68,68,1,67,901,120,220,0,Road,Provider_X,33.78,30.6,13.73,1,180.87,244.11,4237.36
2025-01-01,WH_SOUTH,SKU_E,Household,C2290,Rural,30.60748,-94.622896,45,45,1,44,875,91,170,0,Road,Provider_Y,117.9,109.14,16.73,1,43.18,64.93,963.58
2025-01-01,WH_SOUTH,SKU_C,Food,C3256,Suburban,29.923215,-95.14863,55,55,2,56,733,53,156,0,Road,Provider_Y,25.56,21.96,5.74,1,11.82,18.73,372.19
2025-01-01,WH_SOUTH,SKU_F,Food,C7226,Urban,29.789376,-95.697212,79,79,1,78,893,127,225,0,Rail,Provider_Z,27.78,31.33,6.12,1,11.85,18.88,551.32
2025-01-01,WH_SOUTH,SKU_H,Household,C4242,Suburban,29.613454,-94.843255,88,88,1,82,988,148,293,0,Road,Provider_Y,46.17,58.53,6.8,1,37.36,55.02,1540.56
2025-01-01,WH_SOUTH,SKU_F,Food,C5633,Urban,29.496876,-95.506808,47,47,0,48,640,111,234,0,Rail,Provider_Y,30.86,21.75,13.01,1,12.15,19.62,351.05
2025-01-01,WH_SOUTH,SKU_D,Electronics,C8958,Suburban,29.933178,-94.494973,68,68,1,64,1002,64,173,0,Air,Provider_X,75.95,151.86,4.0,1,172.93,235.87,4219.38
2025-01-01,WH_EAST,SKU_B,Household,C1061,Rural,33.692231,-83.128421,83,83,2,77,1092,159,274,0,Road,Provider_Y,111.35,112.09,10.01,1,39.85,59.78,1626.6
2025-01-01,WH_EAST,SKU_E,Household,C7469,Suburban,34.461769,-84.284636,95,95,0,101,1020,66,201,0,Road,Provider_Z,79.35,78.06,9.72,1,41.21,61.26,1904.81
2025-01-01,WH_EAST,SKU_A,Electronics,C4051,Urban,33.676335,-84.255737,88,88,1,83,556,94,215,0,Road,Provider_X,14.5,23.91,14.81,1,178.21,244.41,5763.24
2025-01-01,WH_EAST,SKU_C,Food,C7738,Rural,33.347863,-83.805839,79,79,1,74,194,119,232,0,Road,Provider_Y,67.29,52.27,5.27,1,10.94,16.93,469.13
2025-01-01,WH_EAST,SKU_F,Food,C8543,Suburban,33.162283,-84.639311,98,98,1,98,987,90,251,0,Road,Provider_Y,66.62,81.73,6.26,1,10.8,16.82,585.9
2025-01-01,WH_EAST,SKU_F,Food,C8907,Rural,33.155097,-86.688027,69,69,1,73,792,77,185,0,Air,Provider_Z,218.77,391.85,8.45,1,11.78,18.86,484.59
2025-01-01,WH_EAST,SKU_C,Food,C8463,Suburban,34.019894,-85.280033,65,65,1,62,721,131,259,0,Road,Provider_Y,84.05,183.31,7.57,1,11.22,18.2,449.2
2025-01-01,WH_EAST,SKU_D,Electronics,C2353,Rural,34.122495,-84.601908,44,44,0,45,905,80,169,0,Road,Provider_Y,46.56,45.14,5.01,1,174.52,243.11,3017.73
2025-01-01,WH_EAST,SKU_B,Household,C4706,Urban,33.905475,-84.231481,22,22,0,21,926,83,139,0,Road,Provider_Y,22.69,18.13,11.83,1,40.1,59.2,420.19
2025-01-01,WH_EAST,SKU_G,Electronics,C4819,Urban,33.15774,-84.652821,62,62,1,61,733,95,219,0,Rail,Provider_Z,67.61,62.35,17.65,1,182.27,250.98,4196.67
2025-01-01,WH_EAST,SKU_G,Electronics,C9220,Suburban,34.853714,-82.383666,53,53,0,54,714,95,206,0,Air,Provider_Y,214.06,403.61,11.34,1,188.59,265.74,4089.03
2025-01-01,WH_EAST,SKU_C,Food,C3151,Urban,33.759947,-84.147436,46,46,0,53,1056,103,194,0,Air,Provider_Y,17.94,40.38,6.67,1,12.04,19.23,330.8
2025-01-01,WH_EAST,SKU_C,Food,C4177,Urban,33.950475,-84.18092,48,48,1,49,767,151,270,0,Road,Provider_Z,27.42,31.84,13.54,1,10.12,16.32,293.93
2025-01-01,WH_EAST,SKU_C,Food,C3742,Urban,33.898808,-84.215486,83,83,1,80,1038,81,198,0,Air,Provider_Y,21.59,41.63,4.0,1,11.03,17.04,495.07
2025-01-01,WH_EAST,SKU_H,Household,C4220,Urban,33.537571,-83.807408,94,94,2,92,794,95,237,0,Air,Provider_X,54.64,116.85,10.35,1,40.56,59.93,1792.64
2025-01-02,WH_NORTH,SKU_F,Food,C1070,Suburban,43.312186,-87.964494,115,115,2,127,918,83,213,0,Rail,Provider_Y,160.4,139.18,10.54,1,10.88,17.13,711.88
2025-01-02,WH_NORTH,SKU_F,Food,C5941,Urban,42.385917,-87.715256,54,54,1,52,1212,107,205,0,Road,Provider_X,56.6,113.25,4.93,1,11.8,19.02,385.5
2025-01-02,WH_NORTH,SKU_B,Household,C4443,Suburban,41.585216,-86.548317,62,62,1,67,1035,92,184,0,Road,Provider_Z,93.52,97.11,9.61,1,39.13,56.37,1055.01
2025-01-02,WH_NORTH,SKU_C,Food,C6676,Suburban,42.294438,-89.254292,51,51,1,51,1230,54,180,0,Rail,Provider_Z,147.98,108.9,6.19,1,14.0,22.09,407.86
2025-01-02,WH_NORTH,SKU_C,Food,C5363,Suburban,42.644104,-87.587678,93,93,0,88,1060,87,206,0,Rail,Provider_X,86.7,74.52,6.75,1,10.62,16.97,590.69
2025-01-02,WH_NORTH,SKU_F,Food,C1453,Suburban,41.122195,-88.416403,83,83,0,87,977,89,206,0,Rail,Provider_Y,104.96,217.24,5.65,1,13.53,21.48,659.85
2025-01-02,WH_NORTH,SKU_H,Household,C2876,Suburban,41.868478,-88.209346,52,52,0,50,514,119,202,0,Road,Provider_X,48.4,46.41,10.37,1,37.92,58.06,1047.29
