date,warehouse_id,sku_id,product_family,customer_id,customer_zone,customer_latitude,customer_longitude,units_ordered,units_shipped,returns_units,demand_forecast_units,inventory_on_hand_units,safety_stock_units,reorder_point_units,stockout_flag,transport_mode,logistics_provider,distance_km,shipment_cost_usd,order_lead_time_hours,on_time_flag,unit_cost_usd,selling_price_usd,gross_margin_usd
2025-01-01,WH_NORTH,SKU_A,Electronics,C7964,Urban,42.215803,-87.206546,17,16,0,24,700,101,137,1,Road,Provider_Y,51.96,46.36,12.06,1,179.76,242.67,1006.65
2025-01-01,WH_NORTH,SKU_B,Household,C5053,Suburban,41.015106,-86.839195,56,50,1,59,578,100,188,1,Road,Provider_X,117.01,112.03,8.72,1,39.51,57.28,888.87
2025-01-01,WH_NORTH,SKU_D,Electronics,C7146,Suburban,41.512326,-88.090818,51,51,0,45,413,95,162,0,Road,Provider_Y,56.43,54.06,12.0,1,167.9,226.67,2997.05
2025-01-01,WH_NORTH,SKU_D,Electronics,C8574,Urban,42.270243,-87.529182,73,71,2,72,475,127,235,1,Road,Provider_X,44.36,48.68,6.93,1,159.02,214.67,3951.57
2025-01-01,WH_NORTH,SKU_C,Food,C7014,Urban,41.120809,-87.780498,71,71,2,63,338,67,161,0,Road,Provider_Y,85.03,80.79,8.78,1,11.67,18.08,455.53
2025-01-01,WH_NORTH,SKU_B,Household,C8700,Urban,42.188818,-87.822064,71,66,1,63,597,78,172,1,Road,Provider_X,38.17,42.87,7.17,1,37.88,54.93,1125.09
2025-01-01,WH_NORTH,SKU_E,Household,C5508,Urban,42.079039,-87.330377,52,49,0,58,459,122,209,1,Road,Provider_X,33.84,36.7,10.21,1,35.37,51.29,779.89
2025-01-01,WH_NORTH,SKU_E,Household,C3371,Suburban,41.037844,-87.814694,39,39,0,43,531,76,140,0,Road,Provider_Y,94.58,85.31,7.34,1,41.39,60.02,726.4
2025-01-01,WH_SOUTH,SKU_D,Electronics,C4888,Suburban,31.202001,-95.58522,42,41,1,41,371,80,141,1,Road,Provider_Y,161.06,142.5,6.17,1,192.03,259.23,2755.57
2025-01-01,WH_SOUTH,SKU_A,Electronics,C5022,Suburban,29.5604,-96.693526,43,43,2,41,562,69,130,0,Rail,Provider_X,114.69,78.85,6.54,1,221.96,299.65,3340.49
2025-01-01,WH_SOUTH,SKU_C,Food,C5685,Urban,29.697044,-94.890109,60,52,0,63,677,77,171,1,Road,Provider_X,41.38,44.44,15.82,1,11.53,17.88,329.85
2025-01-01,WH_SOUTH,SKU_D,Electronics,C9775,Urban,29.434048,-94.411989,53,47,1,45,591,78,145,1,Road,Provider_X,89.11,86.56,9.46,1,185.54,250.48,3052.19
2025-01-01,WH_SOUTH,SKU_B,Household,C4915,Rural,29.915729,-93.948618,61,59,2,63,549,59,153,1,Road,Provider_X,122.02,117.14,11.93,1,40.7,59.02,1080.64
2025-01-01,WH_SOUTH,SKU_B,Household,C9528,Urban,30.53605,-95.450584,70,61,0,53,574,125,204,1,Air,Provider_X,86.37,185.34,8.69,1,42.06,60.99,1154.51
2025-01-01,WH_SOUTH,SKU_B,Household,C2186,Suburban,27.915245,-95.413647,32,28,0,44,680,103,169,1,Road,Provider_Y,204.85,178.79,9.79,1,42.93,62.25,540.93
2025-01-01,WH_SOUTH,SKU_A,Electronics,C3823,Urban,29.447226,-95.470536,66,57,1,64,474,53,149,1,Air,Provider_Y,35.8,79.31,15.8,1,183.29,247.44,3656.57
2025-01-02,WH_NORTH,SKU_D,Electronics,C8062,Urban,42.420734,-87.957888,25,23,0,48,285,143,215,1,Road,Provider_Y,66.38,59.6,8.83,1,172.38,232.71,1387.63
2025-01-02,WH_NORTH,SKU_C,Food,C3417,Suburban,43.531322,-85.01524,35,34,1,39,459,86,144,1,Road,Provider_X,288.21,263.59,16.35,1,11.05,17.13,206.68
2025-01-02,WH_NORTH,SKU_C,Food,C2039,Urban,41.758226,-87.525324,55,55,1,50,504,142,217,0,Road,Provider_Y,16.0,19.95,6.0,1,12.34,19.12,373.22
2025-01-02,WH_NORTH,SKU_E,Household,C6782,Urban,41.534724,-88.130385,85,84,0,81,562,91,212,1,Rail,Provider_Y,57.12,43.35,6.0,1,42.97,62.3,1624.18
2025-01-02,WH_NORTH,SKU_D,Electronics,C8010,Urban,41.76471,-87.561147,37,34,0,87,274,111,241,1,Road,Provider_X,13.87,16.93,9.56,1,184.26,248.75,2192.72
2025-01-02,WH_NORTH,SKU_C,Food,C7631,Urban,41.404296,-87.780305,93,93,3,83,472,91,215,0,Rail,Provider_X,54.13,44.48,10.94,1,12.42,19.25,635.36
2025-01-02,WH_NORTH,SKU_A,Electronics,C3593,Suburban,40.817627,-86.925685,70,70,3,56,761,105,189,0,Rail,Provider_Y,132.05,88.19,6.19,1,190.52,257.21,4667.82
2025-01-02,WH_NORTH,SKU_A,Electronics,C9968,Rural,41.907604,-88.724704,51,51,1,48,778,38,110,0,Road,Provider_Y,93.12,85.44,9.98,1,147.01,198.46,2624.05
2025-01-02,WH_SOUTH,SKU_A,Electronics,C9380,Urban,29.048683,-94.705623,79,72,2,67,496,86,186,1,Rail,Provider_Y,97.1,67.46,11.2,1,195.39,263.77,4923.73
